source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw,source_radar_timestamp,destination_radar_timestamp
1547131014730417,1547131014477724,0.000269,-0.000270,-0.000000,-0.000000,-0.000000,0.000011,1547131014603839,1547131014351772
1547131014983426,1547131014730417,0.001167,-0.000100,-0.000000,0.000000,-0.000000,-0.000012,1547131014857246,1547131014603839
1547131015235031,1547131014983426,0.000985,0.000290,-0.000000,-0.000000,-0.000000,-0.000000,1547131015109865,1547131014857246
1547131015484492,1547131015235031,0.001502,0.000346,-0.000000,-0.000000,-0.000000,-0.000020,1547131015360474,1547131015109865
1547131015732199,1547131015484492,-0.002200,-0.001113,-0.000000,0.000000,0.000000,0.000119,1547131015608777,1547131015360474
1547131015979316,1547131015732199,-0.000965,0.000399,-0.000000,0.000000,0.000000,-0.000016,1547131015855880,1547131015608777
1547131016226188,1547131015979316,0.000530,0.000379,-0.000000,0.000000,0.000000,-0.000062,1547131016102906,1547131015855880
1547131016473759,1547131016226188,0.001232,-0.000743,-0.000000,-0.000000,-0.000000,-0.000010,1547131016349600,1547131016102906
1547131016722981,1547131016473759,-0.000251,0.000221,-0.000000,-0.000000,-0.000000,0.000008,1547131016598174,1547131016349600
1547131016973228,1547131016722981,0.000451,0.000008,-0.000000,0.000000,-0.000000,0.000007,1547131016848022,1547131016598174
1547131017223438,1547131016973228,0.000355,0.000236,-0.000000,-0.000000,-0.000000,0.000005,1547131017098615,1547131016848022
1547131017473137,1547131017223438,0.000181,0.000335,-0.000000,0.000000,0.000000,-0.000008,1547131017348496,1547131017098615
1547131017722631,1547131017473137,0.000055,0.000079,-0.000000,-0.000000,0.000000,-0.000003,1547131017598040,1547131017348496
1547131017971860,1547131017722631,-0.001280,-0.000985,-0.000000,-0.000000,-0.000000,0.000062,1547131017847537,1547131017598040
1547131018220803,1547131017971860,0.000545,0.000728,-0.000000,-0.000000,-0.000000,-0.000064,1547131018096426,1547131017847537
1547131018469595,1547131018220803,0.000946,0.000593,-0.000000,-0.000000,0.000000,-0.000054,1547131018345382,1547131018096426
1547131018719224,1547131018469595,0.000388,0.000047,-0.000000,-0.000000,0.000000,-0.000014,1547131018594065,1547131018345382
1547131018970192,1547131018719224,-0.001752,-0.000382,-0.000000,0.000000,0.000000,0.000006,1547131018844707,1547131018594065
1547131019220577,1547131018970192,-0.000856,-0.000642,-0.000000,0.000000,-0.000000,0.000096,1547131019095842,1547131018844707
1547131019470621,1547131019220577,0.002664,0.000552,-0.000000,-0.000000,0.000000,-0.000019,1547131019345662,1547131019095842
1547131019720977,1547131019470621,0.001905,0.000486,-0.000000,-0.000000,0.000000,-0.000077,1547131019595716,1547131019345662
